,County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
21245,ONONDAGA,310707,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9576,7252,STATE FAIR BLVD,,,SYRACUSE,NY,13209,5900,POINT (-76.286186788 43.121104978)
21268,ONONDAGA,310593,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 7940,709-729,N MAIN ST #721,,,NORTH SYRACUSE,NY,13212,6516,POINT (-76.128289502 43.144076715)
21269,ONONDAGA,310592,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9030,6320,S SALINA ST,,,NEDROW,NY,13120,8250,POINT (-76.142963616 42.979011141)
21270,ONONDAGA,310585,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8991,2909,MILTON AVE,,,SOLVAY,NY,13209,6000,POINT (-76.226273364 43.059747644)
21278,ONONDAGA,310526,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8537,5501,BARTELL RD,,,BREWERTON,NY,13029,12000,POINT (-76.136271199 43.232814747)
21354,ONEIDA,300731,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #8903,13194,RT 12,,,BOONVILLE,NY,13309,8000,POINT (-75.319264771 43.477443402)
21372,ONEIDA,300577,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #11111,103,W MAIN ST,,,WATERVILLE,NY,13480,16500,POINT (-75.380384475 42.930941711)
21384,ONEIDA,300531,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #10537,95,STATE ST E,,,SHERRILL,NY,13461,8630,POINT (-75.591984408 43.074652596)
21414,ONEIDA,300419,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL STR 9763,35,MAIN ST,,,CAMDEN,NY,13316,0,POINT (-75.747848368 43.334069575)
21415,ONEIDA,300408,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6469,131,ORISKANY BLVD SUITE 7,,,WHITESBORO,NY,13492,6800,POINT (-75.293860228 43.119173117)
21416,ONEIDA,300405,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #6343,34,CHENANGO AVE,,,CLINTON,NY,13323,2000,POINT (-75.380163237 43.049223494)
21424,ONEIDA,300365,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9428,8220,TURIN RD,,,ROME,NY,13440,6000,POINT (-75.461250065 43.257299427)
21428,ONEIDA,300353,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 9112,4464,PETERBORO ST S,,,VERNON,NY,13476,7800,POINT (-75.538847584 43.079205436)
21432,ONEIDA,300321,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL 8559,801,BLACK RIVER BLVD N,,,ROME,NY,13440,7989,POINT (-75.448058748 43.219638818)
